ticker,event_ticker,title,status,result,strike,volume,close_time,expiration_time
KXBTC15M-25DEC161915-15,KXBTC15M-25DEC161915,"BTC price up in next 15 mins?",finalized,no,87834,687,2025-12-17T00:15:00Z,2025-12-24T00:15:00Z
KXBTC15M-25DEC161900-00,KXBTC15M-25DEC161900,"BTC price up in next 15 mins?",finalized,yes,87785,1518,2025-12-17T00:00:00Z,2025-12-24T00:00:00Z
KXBTC15M-25DEC161845-45,KXBTC15M-25DEC161845,"BTC price up in next 15 mins?",finalized,yes,87635,1092,2025-12-16T23:45:00Z,2025-12-23T23:45:00Z
KXBTC15M-25DEC161830-30,KXBTC15M-25DEC161830,"BTC price up in next 15 mins?",finalized,no,87699,1919,2025-12-16T23:30:00Z,2025-12-23T23:30:00Z
KXBTC15M-25DEC161815-15,KXBTC15M-25DEC161815,"BTC price up in next 15 mins?",finalized,no,87769,1275,2025-12-16T23:15:00Z,2025-12-23T23:15:00Z
KXBTC15M-25DEC161800-00,KXBTC15M-25DEC161800,"BTC price up in next 15 mins?",finalized,no,87895,1017,2025-12-16T23:00:00Z,2025-12-23T23:00:00Z
KXBTC15M-25DEC161745-45,KXBTC15M-25DEC161745,"BTC price up in next 15 mins?",finalized,yes,87827,795,2025-12-16T22:45:00Z,2025-12-23T22:45:00Z
KXBTC15M-25DEC161730-30,KXBTC15M-25DEC161730,"BTC price up in next 15 mins?",finalized,yes,87636,661,2025-12-16T22:30:00Z,2025-12-23T22:30:00Z
KXBTC15M-25DEC161715-15,KXBTC15M-25DEC161715,"BTC price up in next 15 mins?",finalized,no,87764,2050,2025-12-16T22:15:00Z,2025-12-23T22:15:00Z
KXBTC15M-25DEC161700-00,KXBTC15M-25DEC161700,"BTC price up in next 15 mins?",finalized,no,87864,1055,2025-12-16T22:00:00Z,2025-12-23T22:00:00Z
KXBTC15M-25DEC161645-45,KXBTC15M-25DEC161645,"BTC price up in next 15 mins?",finalized,yes,87677,435,2025-12-16T21:45:00Z,2025-12-23T21:45:00Z
